Region	java	c++	c#	python	JavaScript
Afghanistan	17	0	0	0	0
Albania	14	22	0	0	0
Algeria	16	17	5	5	5
Angola	21	0	0	0	0
Argentina	15	9	9	8	8
Armenia	12	47	26	0	19
Australia	12	12	16	30	14
Austria	20	21	26	20	14
Azerbaijan	10	11	11	0	4
Bahrain	10	0	0	0	0
Bangladesh	100	39	32	18	22
Belarus	18	48	41	16	22
Belgium	16	13	17	19	13
Benin	43	0	0	0	0
Bolivia	30	26	34	0	15
Bosnia & Herzegovina	18	21	13	0	7
Botswana	44	0	0	0	0
Brazil	32	14	15	8	10
Brunei	15	0	0	0	0
Bulgaria	12	26	21	10	13
Burkina Faso	34	0	0	0	0
Côte d’Ivoire	26	0	0	0	14
Cambodia	19	31	27	0	17
Cameroon	51	0	0	0	24
Canada	17	20	19	34	15
Chile	17	10	11	10	9
China	46	100	85	100	60
Colombia	21	21	11	6	9
Congo (DRC)	31	0	0	0	0
Costa Rica	25	23	27	13	14
Croatia	15	20	15	17	8
Cuba	72	0	0	0	100
Cyprus	11	19	13	0	9
Czech Republic	24	34	35	28	22
Denmark	38	13	30	21	15
Dominican Republic	17	17	22	7	8
Ecuador	18	27	15	6	7
Egypt	11	20	17	4	6
El Salvador	35	21	25	0	12
Estonia	20	23	18	36	21
Ethiopia	38	92	39	0	13
Finland	20	20	17	28	17
France	15	15	10	22	13
Georgia	11	22	21	0	10
Germany	28	31	25	24	18
Ghana	29	25	0	16	11
Greece	11	15	9	13	9
Guadeloupe	10	0	0	0	0
Guatemala	37	39	15	9	10
Haiti	28	0	0	0	0
Honduras	23	39	18	0	10
Hong Kong	28	32	29	23	24
Hungary	21	24	20	14	13
Iceland	17	46	48	65	28
India	95	82	100	24	50
Indonesia	55	22	7	9	10
Iran	25	42	50	7	12
Iraq	6	11	4	0	2
Ireland	17	14	15	24	13
Israel	15	31	56	30	20
Italy	15	14	11	10	10
Jamaica	17	31	0	0	12
Japan	15	18	20	9	24
Jordan	10	24	19	0	8
Kazakhstan	15	23	10	5	7
Kenya	29	36	11	20	17
Kosovo	13	0	0	0	0
Kuwait	8	9	8	0	4
Kyrgyzstan	15	0	0	0	0
Laos	20	0	0	0	0
Latvia	17	29	17	14	19
Lebanon	12	24	25	0	14
Libya	5	0	0	0	0
Lithuania	16	28	13	11	11
Luxembourg	28	0	22	25	21
Macau	18	0	0	0	0
Macedonia (FYROM)	18	30	26	0	15
Madagascar	73	0	0	0	0
Malawi	32	0	0	0	0
Malaysia	14	23	12	8	10
Mali	26	0	0	0	0
Malta	21	0	42	0	20
Mauritius	20	0	0	0	18
Mexico	26	27	18	7	9
Moldova	14	31	20	0	18
Mongolia	18	0	0	0	17
Montenegro	13	0	0	0	0
Morocco	19	21	14	7	10
Mozambique	34	0	0	0	0
Myanmar (Burma)	15	0	26	0	10
Namibia	22	0	0	0	0
Nepal	36	40	40	22	25
Netherlands	15	13	20	23	18
New Zealand	12	14	23	27	14
Nicaragua	49	24	28	0	11
Nigeria	42	13	11	13	10
Norway	34	18	21	24	14
Oman	9	19	0	0	6
Pakistan	40	81	42	7	18
Palestine	9	0	0	0	7
Panama	15	19	0	0	8
Paraguay	15	15	0	0	8
Peru	19	16	13	6	8
Philippines	35	51	25	14	20
Poland	23	43	18	16	12
Portugal	21	17	20	16	14
Puerto Rico	10	14	9	12	6
Qatar	10	0	11	0	6
Réunion	11	0	0	0	0
Romania	20	43	20	11	13
Russia	13	43	28	19	17
Rwanda	31	0	0	0	0
Saudi Arabia	7	8	6	3	3
Senegal	20	0	0	0	0
Serbia	18	16	18	9	11
Singapore	24	31	36	30	20
Slovakia	14	21	15	12	12
Slovenia	15	21	23	21	14
South Africa	20	20	41	26	17
South Korea	20	49	44	28	31
Spain	21	13	9	14	13
Sri Lanka	50	34	64	21	25
St. Helena	9	0	18	0	7
Sudan	12	26	0	0	0
Sweden	16	22	28	27	17
Switzerland	20	21	22	28	17
Syria	20	20	26	0	0
Taiwan	20	48	43	20	21
Tanzania	21	21	0	0	10
Thailand	13	11	11	5	7
Togo	52	0	0	0	0
Trinidad & Tobago	19	0	0	0	0
Tunisia	25	26	19	9	15
Turkey	15	10	16	4	5
Uganda	40	0	0	0	16
Ukraine	16	37	26	15	20
United Arab Emirates	10	11	14	8	8
United Kingdom	13	14	19	31	14
United States	20	25	25	47	19
Uruguay	18	12	15	10	12
Uzbekistan	28	29	0	0	14
Venezuela	13	14	4	5	7
Vietnam	18	23	29	4	9
Yemen	10	25	22	0	0
Zambia	35	0	0	0	0
Zimbabwe	22	0	0	0	0
