Week	java	c++	c#	python	JavaScript
2004-01-04 - 2004-01-10	88	23	12	8	34
2004-01-11 - 2004-01-17	88	25	12	8	36
2004-01-18 - 2004-01-24	91	24	12	8	36
2004-01-25 - 2004-01-31	88	26	11	7	36
2004-02-01 - 2004-02-07	93	26	12	7	37
2004-02-08 - 2004-02-14	91	26	12	7	36
2004-02-15 - 2004-02-21	92	28	13	7	37
2004-02-22 - 2004-02-28	91	27	13	8	36
2004-02-29 - 2004-03-06	100	27	13	7	38
2004-03-07 - 2004-03-13	92	27	13	7	35
2004-03-14 - 2004-03-20	92	27	12	7	38
2004-03-21 - 2004-03-27	87	27	11	8	36
2004-03-28 - 2004-04-03	90	27	12	8	37
2004-04-04 - 2004-04-10	90	26	12	8	36
2004-04-11 - 2004-04-17	89	26	14	7	35
2004-04-18 - 2004-04-24	91	26	13	7	36
2004-04-25 - 2004-05-01	88	26	13	7	34
2004-05-02 - 2004-05-08	85	25	12	7	34
2004-05-09 - 2004-05-15	90	26	13	7	35
2004-05-16 - 2004-05-22	87	24	13	7	34
2004-05-23 - 2004-05-29	86	25	13	7	35
2004-05-30 - 2004-06-05	86	25	13	7	34
2004-06-06 - 2004-06-12	88	25	13	7	34
2004-06-13 - 2004-06-19	86	24	14	7	35
2004-06-20 - 2004-06-26	87	23	14	7	34
2004-06-27 - 2004-07-03	83	23	14	7	35
2004-07-04 - 2004-07-10	83	23	14	7	34
2004-07-11 - 2004-07-17	84	22	14	8	35
2004-07-18 - 2004-07-24	84	22	15	7	36
2004-07-25 - 2004-07-31	83	22	15	7	35
2004-08-01 - 2004-08-07	84	22	15	7	34
2004-08-08 - 2004-08-14	82	21	14	7	33
2004-08-15 - 2004-08-21	82	21	14	8	33
2004-08-22 - 2004-08-28	82	21	14	7	33
2004-08-29 - 2004-09-04	82	22	14	7	33
2004-09-05 - 2004-09-11	81	23	14	7	31
2004-09-12 - 2004-09-18	86	24	14	8	32
2004-09-19 - 2004-09-25	84	24	14	7	32
2004-09-26 - 2004-10-02	86	25	14	7	32
2004-10-03 - 2004-10-09	89	25	14	7	31
2004-10-10 - 2004-10-16	87	25	13	8	31
2004-10-17 - 2004-10-23	84	25	13	7	31
2004-10-24 - 2004-10-30	87	24	13	7	31
2004-10-31 - 2004-11-06	83	24	13	7	31
2004-11-07 - 2004-11-13	84	23	13	7	29
2004-11-14 - 2004-11-20	85	24	13	7	31
2004-11-21 - 2004-11-27	85	24	13	7	30
2004-11-28 - 2004-12-04	84	23	13	7	30
2004-12-05 - 2004-12-11	86	23	13	8	30
2004-12-12 - 2004-12-18	82	22	14	7	31
2004-12-19 - 2004-12-25	81	20	13	7	27
2004-12-26 - 2005-01-01	73	16	11	6	26
2005-01-02 - 2005-01-08	74	18	12	7	27
2005-01-09 - 2005-01-15	78	20	14	7	28
2005-01-16 - 2005-01-22	78	21	13	7	29
2005-01-23 - 2005-01-29	81	20	13	7	29
2005-01-30 - 2005-02-05	83	21	13	7	30
